X,Y,concentration,v_x,v_y,v_z
4.6255,0.0435,0.00132,-0.03257,0.0764,-0.0158
4.6545,0.0435,0.00132,-0.02843,0.08257,-0.01977
4.6835,0.0435,0.00131,-0.02249,0.09271,-0.02214
4.7125,0.0435,0.0013,-0.01803,0.10786,-0.02264
4.7415,0.0435,0.0013,-0.01138,0.12355,-0.01695
4.7705,0.0435,4e-05,0.0,0.0,0.0
0.0145,0.0725,0.00186,0.00826,0.11855,-0.04549
0.0435,0.0725,0.00189,0.01221,0.11586,-0.0328
0.0725,0.0725,0.0019,0.01455,0.11839,-0.02226
0.1015,0.0725,0.0019,0.01647,0.12403,-0.01418
0.1305,0.0725,0.0019,0.01677,0.13024,-0.0073
0.1595,0.0725,0.00191,0.01606,0.13594,-0.00089
0.1885,0.0725,0.00191,0.01366,0.14005,0.00465
0.2175,0.0725,0.00192,0.01134,0.14311,0.00967
0.2465,0.0725,0.00193,0.00772,0.14529,0.01442
0.2755,0.0725,0.00194,0.00421,0.1459,0.01775
0.3045,0.0725,0.00196,0.0009,0.14393,0.01876
0.3335,0.0725,0.00197,-0.00204,0.14188,0.0197
0.3625,0.0725,0.00199,-0.00441,0.1348,0.01721
0.3915,0.0725,0.00202,-0.00716,0.12714,0.01443
0.4205,0.0725,0.00204,-0.00963,0.12115,0.01174
0.4495,0.0725,0.00205,-0.01208,0.1165,0.00884
0.4785,0.0725,0.00207,-0.01447,0.11257,0.00642
0.5075,0.0725,0.00208,-0.01668,0.1106,0.00537
0.5365,0.0725,0.00209,-0.01856,0.1087,0.00441
0.5655,0.0725,0.0021,-0.02002,0.10726,0.00399
0.5945,0.0725,0.00212,-0.02122,0.10577,0.00357
0.6235,0.0725,0.00213,-0.02202,0.1042,0.00318
0.6525,0.0725,0.00214,-0.02238,0.10246,0.00262
0.6815,0.0725,0.00216,-0.02259,0.1006,0.00207
0.7105,0.0725,0.00217,-0.02242,0.09853,0.00138
0.7395,0.0725,0.00219,-0.0218,0.09631,0.0004
0.7685,0.0725,0.00221,-0.02079,0.09406,-0.00111
0.7975,0.0725,0.00223,-0.01936,0.09159,-0.00291
0.8265,0.0725,0.00225,-0.01652,0.08937,-0.00629
0.8555,0.0725,0.00227,-0.01323,0.08722,-0.01016
0.8845,0.0725,0.00231,-0.00738,0.08817,-0.01876
0.9135,0.0725,0.00235,-0.0006,0.08854,-0.02706
0.9425,0.0725,0.0024,0.01036,0.0941,-0.03802
0.9715,0.0725,0.00246,0.02102,0.1005,-0.04663
1.0005,0.0725,0.00252,0.03334,0.10415,-0.04763
1.0295,0.0725,0.00258,0.04208,0.10225,-0.04299
1.0585,0.0725,0.00263,0.04968,0.09854,-0.03729
